1.wav|otig is der weg, wss fihrt in stedtel arein.|otig is der weg, wss fihrt in stedtel arein.
33.wav|doss hoben gemust kumen heimische, urm sei ben mld di klieke fun thir gefunen.|doss hoben gemust kumen heimische, urm sei ben mld di klieke fun thir gefunen.
34.wav|eufeescht, ss is schtsb arin.|eufeescht, ss is schtsb arin.
35.wav|in der breiter, langer schub is keiner nisst.|in der breiter, langer schub is keiner nisst.
36.wav|si is ful tt schotenss ; der greusser weerlomp mit der breiter schein, wi bobe in breiten farmd, brent sich einer lein zwischen di schttenss in miten schtg.|si is ful tt schotenss ; der greusser weerlomp mit der breiter schein, wi bobe in breiten farmd, brent sich einer lein zwischen di schttenss in miten schtg.
37.wav|di ongekumene iden seinen in tme, breie schen-peschs, di breite kolnerss seinen bis'n halmn ren ferworfen un beim hals mit a breiten, reuten schl ferbgen ; zwischen di tunkele flden, woss ferwrfen sich in di plen, halt sich noch euf der tunkeler ssud fun der nacht, woss sei hoben fun dreussen mitgebracht.|di ongekumene iden seinen in tme, breie schen-peschs, di breite kolnerss seinen bis'n halmn ren ferworfen un beim hals mit a breiten, reuten schl ferbgen ; zwischen di tunkele flden, woss ferwrfen sich in di plen, halt sich noch euf der tunkeler ssud fun der nacht, woss sei hoben fun dreussen mitgebracht.
38.wav|euf di kep hoben sei schopene hitlen mit lapen iber di eueren ferbunden, un an eis-hur is iber di hitlen un kolner ferfreuren.|euf di kep hoben sei schopene hitlen mit lapen iber di eueren ferbunden, un an eis-hur is iber di hitlen un kolner ferfreuren.
39.wav|der eisheul wert fus der stub-warimkeit zugangen, un tropen wasser rinen fun di hitles, fun di pelzen ; un beim drehen sich iber'n stub lsen di nor sich spuren wasser iber.|der eisheul wert fus der stub-warimkeit zugangen, un tropen wasser rinen fun di hitles, fun di pelzen ; un beim drehen sich iber'n stub lsen di nor sich spuren wasser iber.
40.wav|sei seinen zu zum greussen euwen, woss is is winkel fun stub geistanen.|sei seinen zu zum greussen euwen, woss is is winkel fun stub geistanen.
41.wav|der euwen hot sein hiz ftreisch far sich geschikt un nischt zugelost|der euwen hot sein hiz ftreisch far sich geschikt un nischt zugelost
42.wav|zu sich.|zu sich.
43.wav|di warischeit hot sei rumgenumen.|di warischeit hot sei rumgenumen.
44.wav|sei ben sl dipelzen pelzen eussgeton un seinen gebliben stehn in di dike mani len, arumgegartelt mit reute gartlen.|sei ben sl dipelzen pelzen eussgeton un seinen gebliben stehn in di dike mani len, arumgegartelt mit reute gartlen.
45.wav|erscht dn hoben sid ongeheuben di berd zu weisen.|erscht dn hoben sid ongeheuben di berd zu weisen.
46.wav|theil weiss theil schwarz, theil kurze theil lange.|theil weiss theil schwarz, theil kurze theil lange.
47.wav|di iungere hoben dem rt bei'm euwen fr di alte tbgelost un lein seinen sei gefalen wer euf a bank.|di iungere hoben dem rt bei'm euwen fr di alte tbgelost un lein seinen sei gefalen wer euf a bank.
48.wav|wer euf a tisch, un hoben ongeheuben zu dremlen.|wer euf a tisch, un hoben ongeheuben zu dremlen.
49.wav|di alte seinen stilschweigend rum euwen gesessen.|di alte seinen stilschweigend rum euwen gesessen.
50.wav|un mol hot einer dem ianderen kschi fun gescheft gefregt, sn schd a lange weile hot iener ihm tiruz obgeentfert.|un mol hot einer dem ianderen kschi fun gescheft gefregt, sn schd a lange weile hot iener ihm tiruz obgeentfert.
51.wav|di nacht hot erscht iezt ongeheuben durch'n fensster reinzukuken durch greue brilen, un ess hot sich gedacht, aseu wi men wolt a por tunen lichtigkeit in finssteren ncht-im areingegossen.|di nacht hot erscht iezt ongeheuben durch'n fensster reinzukuken durch greue brilen, un ess hot sich gedacht, aseu wi men wolt a por tunen lichtigkeit in finssteren ncht-im areingegossen.
52.wav|un doss lichtigkeit hot doss finssternisch keum mit etwoss nr greuer gemacht.|un doss lichtigkeit hot doss finssternisch keum mit etwoss nr greuer gemacht.
53.wav|fun ergedwu hot sich a langer, eussgezeugener kukireku fun an eufgechapten hohn gelost heren ; reder klapen euf steiner un sei schlogen ob einsam in rer stiler nacht.|fun ergedwu hot sich a langer, eussgezeugener kukireku fun an eufgechapten hohn gelost heren ; reder klapen euf steiner un sei schlogen ob einsam in rer stiler nacht.
54.wav|di nacht kukt lz mehr mit greue brilen durch'n fensster arein, apnim men gisst alz mehr tunen licht in der finsstergisch.|di nacht kukt lz mehr mit greue brilen durch'n fensster arein, apnim men gisst alz mehr tunen licht in der finsstergisch.
55.wav|fun zweiter stub hert sich ruderen, wasser gissen, dernor trit-euf un rtbgehs.|fun zweiter stub hert sich ruderen, wasser gissen, dernor trit-euf un rtbgehs.
56.wav|bald derhert sich fun der zweiter stub an alt kul, woss sogt mit sehr weinendigen nigun thlim.|bald derhert sich fun der zweiter stub an alt kul, woss sogt mit sehr weinendigen nigun thlim.
57.wav|un doss kul geht sich fr sich in weiten weg.|un doss kul geht sich fr sich in weiten weg.
58.wav|bald mischt sich rein dreisst din-iung kul'chel, woss eilt sich un wi epess mit pretensie mischt ess sich arein in dem alten treuerigen ni.nun: mr bei un wil ess fertumlen.|bald mischt sich rein dreisst din-iung kul'chel, woss eilt sich un wi epess mit pretensie mischt ess sich arein in dem alten treuerigen ni.nun: mr bei un wil ess fertumlen.
59.wav|doss alte ernsste kul, wi far sich, meidt euss dss iunnsi kul'chel un weint in der welt|doss alte ernsste kul, wi far sich, meidt euss dss iunnsi kul'chel un weint in der welt
60.wav|rein.|rein.
61.wav|di iuen bei'm rwsch is der.,stub.|di iuen bei'm rwsch is der.,stub.
62.wav|erherendik kul turh, chpen sl euf, reiben sich di eugen.|erherendik kul turh, chpen sl euf, reiben sich di eugen.
63.wav|einer wascht sich di hend on fensster.|einer wascht sich di hend on fensster.
64.wav|en nehmt bald reuss ur'l mn keschene.|en nehmt bald reuss ur'l mn keschene.
65.wav|un men entfert tb mit a scharfen, haltschen akzent: lmh rgschu geum un ess dacht sid, as di kuluss giben sich ob zeiner dem zweiten schlum elichm eider en scht sich noch.|un men entfert tb mit a scharfen, haltschen akzent: lmh rgschu geum un ess dacht sid, as di kuluss giben sich ob zeiner dem zweiten schlum elichm eider en scht sich noch.
66.wav|un greuer kukt alz di nacht rein ch'n fensster, oder|un greuer kukt alz di nacht rein ch'n fensster, oder
67.wav|farnacht.|farnacht.
68.wav|fun der kich hert sich hosch haken, deroch eier knken.|fun der kich hert sich hosch haken, deroch eier knken.
69.wav|mn gisst epess iber fun ein chli is der zweiter.|mn gisst epess iber fun ein chli is der zweiter.
70.wav|di thir efent sid, menschen drehen sich, men kumt rein, schs gisst epess on, oder men lent epess anider un mn gcht sich sein wen.|di thir efent sid, menschen drehen sich, men kumt rein, schs gisst epess on, oder men lent epess anider un mn gcht sich sein wen.
71.wav|fun weiter stub hert sich a kind wieen.|fun weiter stub hert sich a kind wieen.
72.wav|un ess dacht sid, as di kuluss mischen sich le zusamen: dem iuden'ss treueriger thlim sogen, doss dine gmr nigun'del, der diensst'ss holz-haken, doss feier knaken, un di kuluss grissen un sogen dem nei-gebeurenem ton, woss kukt durch'n fensster rein: gut morgen!|un ess dacht sid, as di kuluss mischen sich le zusamen: dem iuden'ss treueriger thlim sogen, doss dine gmr nigun'del, der diensst'ss holz-haken, doss feier knaken, un di kuluss grissen un sogen dem nei-gebeurenem ton, woss kukt durch'n fensster rein: gut morgen!
73.wav|isi der stub is scheun halb lichtig.|isi der stub is scheun halb lichtig.
74.wav|euf'n tsch seinen ongelent pelzen, kotess un schalen.|euf'n tsch seinen ongelent pelzen, kotess un schalen.
75.wav|a heucher iung schloft euf der kanape un start seine lange fiss in der welt arein.|a heucher iung schloft euf der kanape un start seine lange fiss in der welt arein.
76.wav|thir un meueren seinen scheun afen, un men dreht sich arein un reuss.|thir un meueren seinen scheun afen, un men dreht sich arein un reuss.
77.wav|iuden kumen on fun ferschiedene elter, nidrige un heuche, mit lange un kurze ber.|iuden kumen on fun ferschiedene elter, nidrige un heuche, mit lange un kurze ber.
78.wav|men git sich tb schlum elichm einer dem zweiten un tuch chdi dbur is men scheun in miten gescheft.|men git sich tb schlum elichm einer dem zweiten un tuch chdi dbur is men scheun in miten gescheft.
79.wav|men redt un men kriegt sid, euf theil fragen entfert men gor nischt un euf theil—zufiel tiruzim.|men redt un men kriegt sid, euf theil fragen entfert men gor nischt un euf theil—zufiel tiruzim.
80.wav|t halt scheun ein iud dem zweiten unter'n orem un fihrt ihm in winkel rein|t halt scheun ein iud dem zweiten unter'n orem un fihrt ihm in winkel rein
81.wav|un reumt ihm epess in euer rein.|un reumt ihm epess in euer rein.
82.wav|a zweiter steht bei'm tischel, kukt in ssdur rein un wrft an eug dort ahin.|a zweiter steht bei'm tischel, kukt in ssdur rein un wrft an eug dort ahin.
83.wav|un pluzlung chapt er euch a iud unter'n rem un fihrt ihm euch in a winkel arein.|un pluzlung chapt er euch a iud unter'n rem un fihrt ihm euch in a winkel arein.
84.wav|wi er wolt ienem di eugen gewolt eussstechen, weist er, s er hot euch a ssud.|wi er wolt ienem di eugen gewolt eussstechen, weist er, s er hot euch a ssud.
85.wav|derweil chapt sich noch einer euf un tut sich on tliss un tfilin un stelt sich anider obdawenen, zweiter iud geht ihm scheun in weg rein un lost sich euch in dwenen arein.|derweil chapt sich noch einer euf un tut sich on tliss un tfilin un stelt sich anider obdawenen, zweiter iud geht ihm scheun in weg rein un lost sich euch in dwenen arein.
86.wav|in derselber zeit rechenen zwei iu-den den mit a stikel kreid euf'n tisch, einer, mit a nassen finger, mekt, woss der zweiter schreibt, un der schreibt wieder, woss der zweiter mekt.|in derselber zeit rechenen zwei iu-den den mit a stikel kreid euf'n tisch, einer, mit a nassen finger, mekt, woss der zweiter schreibt, un der schreibt wieder, woss der zweiter mekt.
87.wav|in zweiten winkel stehen zwei iuden, un einer, mit a gel berdel un a rundik beichel, zehlt dem zweiten geld euf'n tisch.|in zweiten winkel stehen zwei iuden, un einer, mit a gel berdel un a rundik beichel, zehlt dem zweiten geld euf'n tisch.
88.wav|er zehlt ernsst wi einer dwent frum: 74, 75, 76, wi er wolt welen dermit dem anderen sogen n seh, woss gelr beteit.|er zehlt ernsst wi einer dwent frum: 74, 75, 76, wi er wolt welen dermit dem anderen sogen n seh, woss gelr beteit.
89.wav|indem efent sich di thir, un ess kumt arein mit a geleuf a heucher iud, a blinder euf an eug, mit a langer, reut- licher bord, un er heubt on, ohn schum tenuss un menuss, zu schiten dem gelen, woss zehlt doss geld: reuter hund, 250 rubl gisst du?|indem efent sich di thir, un ess kumt arein mit a geleuf a heucher iud, a blinder euf an eug, mit a langer, reut- licher bord, un er heubt on, ohn schum tenuss un menuss, zu schiten dem gelen, woss zehlt doss geld: reuter hund, 250 rubl gisst du?
90.wav|woss bisst du mschuge geworen?|woss bisst du mschuge geworen?
91.wav|schss gele iudel zehlt wei-imer mer doss gelr 101, 102.|schss gele iudel zehlt wei-imer mer doss gelr 101, 102.
92.wav|woss hosst du zu mein geld?|woss hosst du zu mein geld?
93.wav|tenh't alz der zweiter.|tenh't alz der zweiter.
94.wav|gor keum hot iener di por gilden zugenumen, meht scheun er reuter mit'n gelen un md'en sich, schlum gemacht.|gor keum hot iener di por gilden zugenumen, meht scheun er reuter mit'n gelen un md'en sich, schlum gemacht.
95.wav|euf'n tisch ligen proben weiz in reute schnup-tichlech, un ieder iud, woss kumt arein, chapt a por kerendlech, bekukt sei zuerscht, chapt sei in meul arein un fregt in der welt arein: wifiel der mark?|euf'n tisch ligen proben weiz in reute schnup-tichlech, un ieder iud, woss kumt arein, chapt a por kerendlech, bekukt sei zuerscht, chapt sei in meul arein un fregt in der welt arein: wifiel der mark?
96.wav|er bekumt nischt kein tiruz, knakt er di weizlech un kneitscht mit'n stern, aseu wi er wolt alein fun sich trefen gewolt dem tiruz, woss er hot nischt gekent areussbekumen fun dem eulm.|er bekumt nischt kein tiruz, knakt er di weizlech un kneitscht mit'n stern, aseu wi er wolt alein fun sich trefen gewolt dem tiruz, woss er hot nischt gekent areussbekumen fun dem eulm.
97.wav|di stub is di stodt-berse.|di stub is di stodt-berse.
98.wav|kleine ssuchrim'ler keufen euf bei di peuerim di tbuh un men ferkeuft sei r' ichskl't speichler.|kleine ssuchrim'ler keufen euf bei di peuerim di tbuh un men ferkeuft sei r' ichskl't speichler.
99.wav|in der stub weren gbgemacht ale gescheften, gischt duk di, woss seinen nuge zu r' ichskl'ss gescheft, nor afilu|in der stub weren gbgemacht ale gescheften, gischt duk di, woss seinen nuge zu r' ichskl'ss gescheft, nor afilu
100.wav|sch, woss einer hot epess mit'n zweiten ; oer glat aseu, as a iud wil sich drehen in a gescheft, oder as a iungerman neht dem ersten trit fun kesst arob un wil areintreten in handel, dreht men sich zuerscht in stub.|sch, woss einer hot epess mit'n zweiten ; oer glat aseu, as a iud wil sich drehen in a gescheft, oder as a iungerman neht dem ersten trit fun kesst arob un wil areintreten in handel, dreht men sich zuerscht in stub.
101.wav|doss is doss biss hmdrsch fun handel.|doss is doss biss hmdrsch fun handel.
102.wav|bei der stub is obgesundert a stibel, doss kabi netel heisst ek, far r' ichskl'n alein.|bei der stub is obgesundert a stibel, doss kabi netel heisst ek, far r' ichskl'n alein.
103.wav|bei a fier-ekendigsch schreib-tisch sizt d' ichskl euf sik ftestuhl.|bei a fier-ekendigsch schreib-tisch sizt d' ichskl euf sik ftestuhl.
104.wav|r ichsee t nidrig nor a dik iudel mit a rundik weiss berdel, halt se on mit ein hand di brilen bei der nos, ein gschel f ihm ale hol areuss, un r' ichskl heubt ch euf, reim essier ier mit'n tichl, sezt ess weiter euf er nos, frschede epess oder obenterendik r' tubih'n, sein mensch.|r ichsee t nidrig nor a dik iudel mit a rundik weiss berdel, halt se on mit ein hand di brilen bei der nos, ein gschel f ihm ale hol areuss, un r' ichskl heubt ch euf, reim essier ier mit'n tichl, sezt ess weiter euf er nos, frschede epess oder obenterendik r' tubih'n, sein mensch.
105.wav|r' mb, a gicher iud, mt a daren gesicht, enschet ob r' issskk mit eienisch un mit a gelechterl, aseu wi er wolt sogn: alz is gut, asch is gut.|r' mb, a gicher iud, mt a daren gesicht, enschet ob r' issskk mit eienisch un mit a gelechterl, aseu wi er wolt sogn: alz is gut, asch is gut.
106.wav|r' chskl, eingewikelt in din langen breiten schlofrok un in dem fierkantigen hitel, knetendik a stikel breut zwschen di finger horcht euss sein mensch, a minut beisert er sich, a minut wert er weiter gut, wegndik sich mit sein menschen berothen.|r' chskl, eingewikelt in din langen breiten schlofrok un in dem fierkantigen hitel, knetendik a stikel breut zwschen di finger horcht euss sein mensch, a minut beisert er sich, a minut wert er weiter gut, wegndik sich mit sein menschen berothen.
107.wav|r' ichskl rukt euf a schuflodel, nehmt areuss a papier un sogt zu r' tubih'n:|r' ichskl rukt euf a schuflodel, nehmt areuss a papier un sogt zu r' tubih'n:
108.wav|wolf mus noch danzig schreiben, as der erster transsport is eksspedirt.|wolf mus noch danzig schreiben, as der erster transsport is eksspedirt.
109.wav|ess efent sich di thir un zuescht schmekt sich a kop arein, sogendik: gut morgen!|ess efent sich di thir un zuescht schmekt sich a kop arein, sogendik: gut morgen!
110.wav|un dernoch ferschwindet der kop un em beweist sich a heucher peuer mit lange, ferblotigte stiue, woss losen noch sich an onsehendigen zeichen.|un dernoch ferschwindet der kop un em beweist sich a heucher peuer mit lange, ferblotigte stiue, woss losen noch sich an onsehendigen zeichen.
111.wav|doss pnim is bei ihm reut fun hiz, tropenss schweiss rinen fun di feichte hor, un nit reidendik kein wort, knepelt er euf sein palto, der noch di wesst, un schlept fun dort epess areuss un git iber a briwel r' ichskl'n.|doss pnim is bei ihm reut fun hiz, tropenss schweiss rinen fun di feichte hor, un nit reidendik kein wort, knepelt er euf sein palto, der noch di wesst, un schlept fun dort epess areuss un git iber a briwel r' ichskl'n.
112.wav|bess r' ichskl leient, wendt sich derweil r' tubih zum peuer.|bess r' ichskl leient, wendt sich derweil r' tubih zum peuer.
113.wav|d' tubih redt zu ihm, der peuer entfert ihm ober bischt.|d' tubih redt zu ihm, der peuer entfert ihm ober bischt.
114.wav|er kukt euf r' ichskl'n, wrtendik euf epess.|er kukt euf r' ichskl'n, wrtendik euf epess.
115.wav|dem wogen spanen!|dem wogen spanen!
116.wav|ich alein fohr kein trissk.|ich alein fohr kein trissk.
117.wav|ich hob denssmol bald nischt geheissen gehn mit wasser, zwei wochen far di imim tubim, wer weisst iioss ss'ken sich machen?|ich hob denssmol bald nischt geheissen gehn mit wasser, zwei wochen far di imim tubim, wer weisst iioss ss'ken sich machen?
118.wav|bei di este fresst, as ess nehmt gesund sogt r' tubih zu r' ichskl'n mt a min weichen gebeiser, alein scheun ferstehendik arn woss ess handelt sich.|bei di este fresst, as ess nehmt gesund sogt r' tubih zu r' ichskl'n mt a min weichen gebeiser, alein scheun ferstehendik arn woss ess handelt sich.
119.wav|ferfalen, doss hosch stelen hob ich gemsst, di tratwess en gewen gebunen gass gu, di strik stark, di teg schehn, gch echen sich?|ferfalen, doss hosch stelen hob ich gemsst, di tratwess en gewen gebunen gass gu, di strik stark, di teg schehn, gch echen sich?
120.wav|! woss ken en machen ; ess is gewen mn hschmim, h dechen, far chnuchh det sich di weichssel stelen.|! woss ken en machen ; ess is gewen mn hschmim, h dechen, far chnuchh det sich di weichssel stelen.
121.wav|men rf antik'n un ssokolssken mitnehmen, euf'n beudem ligen etliche hundert schok frische sstronkess.|men rf antik'n un ssokolssken mitnehmen, euf'n beudem ligen etliche hundert schok frische sstronkess.
122.wav|di hokess, di strik git an ezh r' tubih.|di hokess, di strik git an ezh r' tubih.
123.wav|doss eis heubt sich on rihren, schreibt men mir, got sl geen, as di krachess solen nischt sein greuss, nor trissk dacht sich iis a stil ort, ess is nischt stromig un mit got'ss hilf, uen doss eis sol nor nischt mit a mol brechen, wet men kenen doss holz ratewen sogt zum ssuf r' ichskl.|doss eis heubt sich on rihren, schreibt men mir, got sl geen, as di krachess solen nischt sein greuss, nor trissk dacht sich iis a stil ort, ess is nischt stromig un mit got'ss hilf, uen doss eis sol nor nischt mit a mol brechen, wet men kenen doss holz ratewen sogt zum ssuf r' ichskl.
124.wav|mit got'ss hilf.|mit got'ss hilf.
125.wav|kein gombin darf men di gombiner zwei hundert rubl en, un bzll zu r' brhm plozker, sol er in schemeniz keufen.|kein gombin darf men di gombiner zwei hundert rubl en, un bzll zu r' brhm plozker, sol er in schemeniz keufen.
126.wav|ich hob mur, as di schemenizer solen nischt di schepssen eusschapen, losen tor men sich nischt.|ich hob mur, as di schemenizer solen nischt di schepssen eusschapen, losen tor men sich nischt.
127.wav|un reidendik seinen sei beide in der zweiter stub arein.|un reidendik seinen sei beide in der zweiter stub arein.
128.wav|der eulm is halblech gewen in heuf beim speichler di chbuh ossweges, in der stub seinen nor gewen di urchim, woss seinen gekumen bei nacht mit tbuh in stub arein.|der eulm is halblech gewen in heuf beim speichler di chbuh ossweges, in der stub seinen nor gewen di urchim, woss seinen gekumen bei nacht mit tbuh in stub arein.
129.wav|un noch zwei stodtische meklerss, einer a iud in a nu'isch hitel, mit a kragendil un a kurz rekel un mit a steken in der hand, doss in gewen kosek, der prizischer mekler,|un noch zwei stodtische meklerss, einer a iud in a nu'isch hitel, mit a kragendil un a kurz rekel un mit a steken in der hand, doss in gewen kosek, der prizischer mekler,
130.wav|er is gewen geschikt fun der zuk rnie fun a priz zu r' ichskl'n.|er is gewen geschikt fun der zuk rnie fun a priz zu r' ichskl'n.
131.wav|bei ieden wort, woss er hot gesogt, hot er dermohnt dempriz priz mit der zukernie.|bei ieden wort, woss er hot gesogt, hot er dermohnt dempriz priz mit der zukernie.
132.wav|er zweiter is geuen r' chsskl epstein, a iud a chssid, amol alein a ssuchr, heint an ossgekumener, a mekler is er geworen nor iber'n nomen epstein: epess der nomen passt zum gescheft.|er zweiter is geuen r' chsskl epstein, a iud a chssid, amol alein a ssuchr, heint an ossgekumener, a mekler is er geworen nor iber'n nomen epstein: epess der nomen passt zum gescheft.
133.wav|er trogt a bestendik beflekte un zurissene kam-seidene kapote, woss hot noch nischt demngidischen glanz ongeworen.|er trogt a bestendik beflekte un zurissene kam-seidene kapote, woss hot noch nischt demngidischen glanz ongeworen.
134.wav|r' ichskl hot di iuden schlum elichm ongegeben, un eider sei hoben noch ongeheuben a wort eusszureiden, hot er sei zum chiur gestupt noch sich, as sei solen sich waschen zum essen.|r' ichskl hot di iuden schlum elichm ongegeben, un eider sei hoben noch ongeheuben a wort eusszureiden, hot er sei zum chiur gestupt noch sich, as sei solen sich waschen zum essen.
135.wav|densstmol is in stub arein a heuche, dike iudene in a breiterschie.|densstmol is in stub arein a heuche, dike iudene in a breiterschie.
136.wav|der diker band fun ihre schlisselech klingen un sonen on, as si kumt, un di briliantene euringlech blanken in ihre eueren.|der diker band fun ihre schlisselech klingen un sonen on, as si kumt, un di briliantene euringlech blanken in ihre eueren.
137.wav|di hot a rein, weiss tistuch iber'n ongeschriebenem tisch gelegt, un sogendik zu di manssperscheunen mit a breit belhbssisches kul: r' tubih, wschen, r' note schochliner, wschen hot si zum gegreit.|di hot a rein, weiss tistuch iber'n ongeschriebenem tisch gelegt, un sogendik zu di manssperscheunen mit a breit belhbssisches kul: r' tubih, wschen, r' note schochliner, wschen hot si zum gegreit.
138.wav|di chim hoben sich gelost stupen zum chiur, fun hintenis is gescheen er mekler epstein.|di chim hoben sich gelost stupen zum chiur, fun hintenis is gescheen er mekler epstein.
139.wav|mlchh'le hot breut euf'n misch euglegt, der eulk hot sich arum tisch gesezt, fun der kich hot sich getrogen der rich fun gepregelte zibeless un di pare fun reuschen burike-borschtsch, woss hot dermohnt fun pssch un hot geueet di tuh zum essen.|mlchh'le hot breut euf'n misch euglegt, der eulk hot sich arum tisch gesezt, fun der kich hot sich getrogen der rich fun gepregelte zibeless un di pare fun reuschen burike-borschtsch, woss hot dermohnt fun pssch un hot geueet di tuh zum essen.
140.wav|epstein is gesessen beim misch, wi einer fun di urchim, hot gegessen un gesogt gleich wertlech.|epstein is gesessen beim misch, wi einer fun di urchim, hot gegessen un gesogt gleich wertlech.
141.wav|der zweiter mekler kosek is gesessen in a winkeleuf euf di onlehnen fun stuhl un sich di wonzess gedreht.|der zweiter mekler kosek is gesessen in a winkeleuf euf di onlehnen fun stuhl un sich di wonzess gedreht.
