ashtetl-1|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.|אָטיג איז דער װעג, װאס פיהרט אין „שטעדטעל" אַרײן.
ashtetl-30|איז מיטען ער נאַכט האָט זיך אַ רעש-ענדיק קלאַפּען פון פערד און רעדער דערערט אואָ שטײנער.|איז מיטען ער נאַכט האָט זיך אַ רעש-ענדיק קלאַפּען פון פערד און רעדער דערערט אואָ שטײנער.
ashtetl-31|דאָס רעש'ען איז פערשטומט געו דען בײ דעם שטראַהל שײן, ושס האָט פון אַ לאָדען אַרױסגעדרינגט, און פון װאָגען איז ועד אראָב...|דאָס רעש'ען איז פערשטומט געו דען בײ דעם שטראַהל שײן, ושס האָט פון אַ לאָדען אַרױסגעדרינגט, און פון װאָגען איז ועד אראָב...
ashtetl-32|שװערע „בעלי-בתי'שע" טריט האָבען דר איבער'ן מרידאָר געאָזס הערען.|שװערע „בעלי-בתי'שע" טריט האָבען דר איבער'ן מרידאָר געאָזס הערען.
ashtetl-33|דאָס האָבען געמוזט קומען הײמישע, וארם זײ אבען מלד די קליעקע פון טהיר געפונען.|דאָס האָבען געמוזט קומען הײמישע, וארם זײ אבען מלד די קליעקע פון טהיר געפונען.
ashtetl-34|אױפעעשט, את איז „שטזב" אַרין.|אױפעעשט, את איז „שטזב" אַרין.
ashtetl-35|אין דער ברײטער, לאַנגער „שוב" איז קײנער ניסט.|אין דער ברײטער, לאַנגער „שוב" איז קײנער ניסט.
ashtetl-36|זי איז פול טט שאָטענס ; דער גרױסער װעערלאָמפּ מיט דער ברײטער שײן, װי א באָבע אין א ברײטען פאַרמד, ברענט זיך אײנער אלײן צװישען די שטטענס אין מיטען שטג.|זי איז פול טט שאָטענס ; דער גרױסער װעערלאָמפּ מיט דער ברײטער שײן, װי א באָבע אין א ברײטען פאַרמד, ברענט זיך אײנער אלײן צװישען די שטטענס אין מיטען שטג.
ashtetl-37|די אָנגעקומענע אידען זײנען אין תּמע, ברײע שאען-פּעשז, די ברײטע קאָלנערס זײנען ביז'ן האַלמן רען פערװאָרפען און בײם האַלז מיט אַ ברײטען, רױטען שאל פערבגען ; צװישען די טונקעלע פאלדען, װאָס פערװארפען זיך אין די פּלען, האַלט זיך נאָך אױף דער טונקעלער סוד פון דער נאַכט, װאָס זײ האָבען פון דרױסען מיטגעבראַכט...|די אָנגעקומענע אידען זײנען אין תּמע, ברײע שאען-פּעשז, די ברײטע קאָלנערס זײנען ביז'ן האַלמן רען פערװאָרפען און בײם האַלז מיט אַ ברײטען, רױטען שאל פערבגען ; צװישען די טונקעלע פאלדען, װאָס פערװארפען זיך אין די פּלען, האַלט זיך נאָך אױף דער טונקעלער סוד פון דער נאַכט, װאָס זײ האָבען פון דרױסען מיטגעבראַכט...
ashtetl-38|אױף די קעפּ האָבען זײ שאָפּענע היטלען מיט „לאַפּען" איבער די אױערען פערבונדען, און אַן אײז-הור איז איבער די היטלען און קאָלנער פערפרױרען.|אױף די קעפּ האָבען זײ שאָפּענע היטלען מיט „לאַפּען" איבער די אױערען פערבונדען, און אַן אײז-הור איז איבער די היטלען און קאָלנער פערפרױרען.
ashtetl-39|דער „אײזהױל װערט פוז דער שטוב-װאַרימקײט צוגאַנגען, און טראָפּען װאַסער רינען פון די היטלעז, פון די פּעלצען ; און בײם דרעהען זיך איבער'ן שטוב לאזען די נאָר זיך שפּורען װאַסער איבער.|דער „אײזהױל װערט פוז דער שטוב-װאַרימקײט צוגאַנגען, און טראָפּען װאַסער רינען פון די היטלעז, פון די פּעלצען ; און בײם דרעהען זיך איבער'ן שטוב לאזען די נאָר זיך שפּורען װאַסער איבער.
ashtetl-40|זײ זײנען צו צום גרױסען אױװען, װאָס איז איז א װינקעל פון שטוב געישטאַנען.|זײ זײנען צו צום גרױסען אױװען, װאָס איז איז א װינקעל פון שטוב געישטאַנען.
ashtetl-41|דער אױװען האָט זײן היץ פטראײש פאַר זיך געשיקט און נישט צוגעלאָזט|דער אױװען האָט זײן היץ פטראײש פאַר זיך געשיקט און נישט צוגעלאָזט
ashtetl-42|צו זיך.|צו זיך.
ashtetl-43|די װאַרישײט האָט זײ ארומגענומען.|די װאַרישײט האָט זײ ארומגענומען.
ashtetl-44|זײ אבען זל דיפּעלצען פּעלצען אױסגעטאָן און זײנען געבליבען שטעהן אין די דיקע מאַני לען, אַרומגעגאַרטעלט מיט רױטע גאַרטלען.|זײ אבען זל דיפּעלצען פּעלצען אױסגעטאָן און זײנען געבליבען שטעהן אין די דיקע מאַני לען, אַרומגעגאַרטעלט מיט רױטע גאַרטלען.
ashtetl-45|ערשט דאן האָבען זיד אָנגעהױבען די בערד צו װײזען.|ערשט דאן האָבען זיד אָנגעהױבען די בערד צו װײזען.
ashtetl-46|טהײל װײס טהײל שװאַרץ, טהײל קורצע טהײל לאַנגע.|טהײל װײס טהײל שװאַרץ, טהײל קורצע טהײל לאַנגע.
ashtetl-47|די יונגערע האָבען דעם ארט בײ'ם אױװען פאר די אַלטע טבגעלאָזט און אלײן זײנען זײ געפאַלען װער אױף אַ באַנק.|די יונגערע האָבען דעם ארט בײ'ם אױװען פאר די אַלטע טבגעלאָזט און אלײן זײנען זײ געפאַלען װער אױף אַ באַנק.
ashtetl-48|װער אױף אַ טיש, און האָבען אָנגעהױבען צו דרעמלען.|װער אױף אַ טיש, און האָבען אָנגעהױבען צו דרעמלען.
ashtetl-49|די אַלטע זײנען שטילשװײגענד ארום אױװען געזעסען.|די אַלטע זײנען שטילשװײגענד ארום אױװען געזעסען.
ashtetl-50|און א מאָל האָט אײנער דעם יאַנדערען א קשיא פון געשעפט געפרעגט, אזן שד אַ לאַנגע װײלע האָט יענער איהם א תּירוץ אָבגעענטפערט.|און א מאָל האָט אײנער דעם יאַנדערען א קשיא פון געשעפט געפרעגט, אזן שד אַ לאַנגע װײלע האָט יענער איהם א תּירוץ אָבגעענטפערט.
ashtetl-51|די נאַכט האָט ערשט יעצט אָנגעהױבען דורכ'ן פענסטער ארײנצוקוקען דורך גרױע ברילען, און עס האָט זיך געדאַכט, אַזױ װי מען װאָלט אַ פּאָר טונען ליכטיגקײט אין א פינסטערען נאכט-ים אַרײנגעגאָסען.|די נאַכט האָט ערשט יעצט אָנגעהױבען דורכ'ן פענסטער ארײנצוקוקען דורך גרױע ברילען, און עס האָט זיך געדאַכט, אַזױ װי מען װאָלט אַ פּאָר טונען ליכטיגקײט אין א פינסטערען נאכט-ים אַרײנגעגאָסען.
ashtetl-52|און דאָס ליכטיגקײט האָט דאָס פינסטערניש קױם מיט עטװאָס נאר גרױער געמאַכט.|און דאָס ליכטיגקײט האָט דאָס פינסטערניש קױם מיט עטװאָס נאר גרױער געמאַכט.
ashtetl-53|פון ערגעדװאו האָט זיך אַ לאַנגער, אױסגעצױגענער קוקירעקו פון אַן אױפגעכאַפּטען האָהן געלאָזט הערען ; רעדער קלאַפּען אױף שטײנער און זײ שלאָגען אָב אײנזאַם אין רער שטילער נאַכט.|פון ערגעדװאו האָט זיך אַ לאַנגער, אױסגעצױגענער קוקירעקו פון אַן אױפגעכאַפּטען האָהן געלאָזט הערען ; רעדער קלאַפּען אױף שטײנער און זײ שלאָגען אָב אײנזאַם אין רער שטילער נאַכט.
ashtetl-54|די נאַכט קוקט אלץ מעהר מיט גרױע ברילען דורכ'ן פענסטער אַרײן, אַפּנים מען גיסט אַלץ מעהר טונען ליכט אין דער פינסטערגיש...|די נאַכט קוקט אלץ מעהר מיט גרױע ברילען דורכ'ן פענסטער אַרײן, אַפּנים מען גיסט אַלץ מעהר טונען ליכט אין דער פינסטערגיש...
ashtetl-55|פון א צװײטער שטוב הערט זיך רודערען, װאַסער גיסען, דערנאָר טריט-אױף און ארטבגעהז.|פון א צװײטער שטוב הערט זיך רודערען, װאַסער גיסען, דערנאָר טריט-אױף און ארטבגעהז.
ashtetl-56|באַלד דערהערט זיך פון דער צװײטער שטוב אַן אַלט קול, װאָס זאָגט מיט זעהר א װײנענדיגען ניגון תּהלים.|באַלד דערהערט זיך פון דער צװײטער שטוב אַן אַלט קול, װאָס זאָגט מיט זעהר א װײנענדיגען ניגון תּהלים.
ashtetl-57|און דאָס קול געהט זיך פאר זיך אין א װײטען װעג.|און דאָס קול געהט זיך פאר זיך אין א װײטען װעג.
ashtetl-58|באַלד מישט זיך ארײן א דרײסט דין-יונג קול'כעל, װאָס אײלט זיך און װי עפּעס מיט א פּרעטענזיע מישט עס זיך אַרײן אין דעם אַלטען טרױעריגען ני.נון : „אמר אבײ" און װיל עס פערטומלען.|באַלד מישט זיך ארײן א דרײסט דין-יונג קול'כעל, װאָס אײלט זיך און װי עפּעס מיט א פּרעטענזיע מישט עס זיך אַרײן אין דעם אַלטען טרױעריגען ני.נון : „אמר אבײ" און װיל עס פערטומלען.
ashtetl-59|דאָס אַלטע ערנסטע קול, װי פאַר זיך, מײדט אױס דאס יוננזי קול'כעל און װײנט אין דער װעלט|דאָס אַלטע ערנסטע קול, װי פאַר זיך, מײדט אױס דאס יוננזי קול'כעל און װײנט אין דער װעלט
ashtetl-60|ארײן.|ארײן.
ashtetl-61|די יוען בײ'ם ארװש איז דער .,שטוב".|די יוען בײ'ם ארװש איז דער .,שטוב".
ashtetl-62|ערהערענדיק א „קול תּורה", כאפּען זל אױף, רײבען זיך די אױגען.|ערהערענדיק א „קול תּורה", כאפּען זל אױף, רײבען זיך די אױגען.
ashtetl-63|אײנער װאַשט זיך די הענד אָן פענסטער.|אײנער װאַשט זיך די הענד אָן פענסטער.
ashtetl-64|ען נעהמט באַלד ארױס א ור'ל מן קעשענע.|ען נעהמט באַלד ארױס א ור'ל מן קעשענע.
ashtetl-65|און מען ענטפערט טב מיט אַ שאַרפען, האַלטשען אַקצענט : „למה רגשו גױם" און עס דאַכט זיד, אַז די קולות גיבען זיך אָב צײנער דעם צװײטען א „שלום עליכם" אײדער ען זחט זיך נאָך...|און מען ענטפערט טב מיט אַ שאַרפען, האַלטשען אַקצענט : „למה רגשו גױם" און עס דאַכט זיד, אַז די קולות גיבען זיך אָב צײנער דעם צװײטען א „שלום עליכם" אײדער ען זחט זיך נאָך...
ashtetl-66|און גרױער קוקט אַלץ די נאַכט ארײן כ'ן פענסטער, אָדער|און גרױער קוקט אַלץ די נאַכט ארײן כ'ן פענסטער, אָדער
ashtetl-67|פאַרנאַכט..|פאַרנאַכט..
ashtetl-68|פון דער קיך הערט זיך האָש האַקען, דעראָך אײער קנאקען.|פון דער קיך הערט זיך האָש האַקען, דעראָך אײער קנאקען.
ashtetl-69|מן גיסט עפּעס איבער פון אײן כלי איז דער צװײטער.|מן גיסט עפּעס איבער פון אײן כלי איז דער צװײטער.
ashtetl-70|די טהיר עפענט זיד, מענשען דרעהען זיך, מען קומט ארײן, שז גיסט עפּעס אָן, אָדער מען לענט עפּעס אַנידער און מן גחט זיך זײן װענ...|די טהיר עפענט זיד, מענשען דרעהען זיך, מען קומט ארײן, שז גיסט עפּעס אָן, אָדער מען לענט עפּעס אַנידער און מן גחט זיך זײן װענ...
ashtetl-71|פון א װײטער שטוב הערט זיך אַ קינד װיעען...|פון א װײטער שטוב הערט זיך אַ קינד װיעען...
ashtetl-72|און עס דאַכט זיד, אַז די קולות מישען זיך אלע צוזאַמען : דעם יודען'ס טרױעריגער תּהלים זאָגען, דאָס דינע גמרא ניגונ'דעל, דער דיענסט'ס האָלץ-האַקען, דאָס פײער קנאַקען, און די קולות גריסען און זאָגען דעם נײ-געבױרענעם טאָנ, װאָס קוקט דורכ'ן פענסטער ארײן : גוט מאָרגען!|און עס דאַכט זיד, אַז די קולות מישען זיך אלע צוזאַמען : דעם יודען'ס טרױעריגער תּהלים זאָגען, דאָס דינע גמרא ניגונ'דעל, דער דיענסט'ס האָלץ-האַקען, דאָס פײער קנאַקען, און די קולות גריסען און זאָגען דעם נײ-געבױרענעם טאָנ, װאָס קוקט דורכ'ן פענסטער ארײן : גוט מאָרגען!
ashtetl-73|איזי דער שטוב איז שױן האַלב ליכטיג.|איזי דער שטוב איז שױן האַלב ליכטיג.
ashtetl-74|אױפ'ן טש זײנען אָנגעלענט פּעלצען, קאאָטעס און שאַלען.|אױפ'ן טש זײנען אָנגעלענט פּעלצען, קאאָטעס און שאַלען.
ashtetl-75|אַ הױכער יונג שלאָפט אױף דער קאַנאַפּע און שטאַרט זײנע לאַנגע פיס אין דער װעלט אַרײן...|אַ הױכער יונג שלאָפט אױף דער קאַנאַפּע און שטאַרט זײנע לאַנגע פיס אין דער װעלט אַרײן...
ashtetl-76|טהיר און מױערען זײנען שױן אַפען, און מען דרעהט זיך אַרײן און ארױס.|טהיר און מױערען זײנען שױן אַפען, און מען דרעהט זיך אַרײן און ארױס.
ashtetl-77|יודען קומען אָן פון פערשיעדענע עלטער, נידריגע און הױכע, מיט לאַנגע און קורצע בער.|יודען קומען אָן פון פערשיעדענע עלטער, נידריגע און הױכע, מיט לאַנגע און קורצע בער.
ashtetl-78|מען גיט זיך טב „שלום עליכם" אײנער דעם צװײטען און תּוך כדי דבור איז מען שױן אין מיטען געשעפט.|מען גיט זיך טב „שלום עליכם" אײנער דעם צװײטען און תּוך כדי דבור איז מען שױן אין מיטען געשעפט.
ashtetl-79|מען רעדט און מען קריעגט זיד, אױף טהײל פראַגען ענטפערט מען גאָר נישט און אױף טהײל—צופיעל תּירוצים.|מען רעדט און מען קריעגט זיד, אױף טהײל פראַגען ענטפערט מען גאָר נישט און אױף טהײל—צופיעל תּירוצים.
ashtetl-80|אט האַלט שױן אײן יוד דעם צװײטען אונטער'ן אָרעם און פיהרט איהם אין א װינקעל ארײן|אט האַלט שױן אײן יוד דעם צװײטען אונטער'ן אָרעם און פיהרט איהם אין א װינקעל ארײן
ashtetl-81|און רױמט איהם עפּעס אין אױער ארײן.|און רױמט איהם עפּעס אין אױער ארײן.
ashtetl-82|אַ צװײטער שטעהט בײ'ם טישעל, קוקט אין א סדור ארײן און װארפט אַן אױג דאָרט אַהין.|אַ צװײטער שטעהט בײ'ם טישעל, קוקט אין א סדור ארײן און װארפט אַן אױג דאָרט אַהין.
ashtetl-83|און פּלוצלונג כאַפּט ער אױך אַ יוד אונטער'ן ארעם און פיהרט איהם אױך אין אַ װינקעל אַרײן.|און פּלוצלונג כאַפּט ער אױך אַ יוד אונטער'ן ארעם און פיהרט איהם אױך אין אַ װינקעל אַרײן.
ashtetl-84|װי ער װאָלט יענעם די אױגען געװאָלט אױסשטעכען, װײזט ער, אז ער האָט אױך אַ סוד.|װי ער װאָלט יענעם די אױגען געװאָלט אױסשטעכען, װײזט ער, אז ער האָט אױך אַ סוד.
ashtetl-85|דערװײל כאַפּט זיך נאָך אײנער אױף און טוט זיך אָן טלית און תּפילין און שטעלט זיך אַנידער אָבדאַװענען, א צװײטער יוד געהט איהם שױן אין װעג ארײן און לאָזט זיך אױך אין דאװענען אַרײן.|דערװײל כאַפּט זיך נאָך אײנער אױף און טוט זיך אָן טלית און תּפילין און שטעלט זיך אַנידער אָבדאַװענען, א צװײטער יוד געהט איהם שױן אין װעג ארײן און לאָזט זיך אױך אין דאװענען אַרײן.
ashtetl-86|אין דערזעלבער צײט רעכענען צװײ יו-דען דען מיט אַ שטיקעל קרײד אױפ'ן טיש, אײנער, מיט אַ נאַסען פינגער, מעקט, װאָס דער צװײטער שרײבט, און דער שרײבט װיעדער, װאָס דער צװײטער מעקט.|אין דערזעלבער צײט רעכענען צװײ יו-דען דען מיט אַ שטיקעל קרײד אױפ'ן טיש, אײנער, מיט אַ נאַסען פינגער, מעקט, װאָס דער צװײטער שרײבט, און דער שרײבט װיעדער, װאָס דער צװײטער מעקט.
ashtetl-87|אין צװײטען װינקעל שטעהען צװײ יודען, און אײנער, מיט אַ געל בערדעל און אַ רונדיק בײכעל, צעהלט דעם צװײטען געלד אױפ'ן טיש.|אין צװײטען װינקעל שטעהען צװײ יודען, און אײנער, מיט אַ געל בערדעל און אַ רונדיק בײכעל, צעהלט דעם צװײטען געלד אױפ'ן טיש.
ashtetl-88|ער צעהלט ערנסט װי אײנער דאװענט פרום : 74, 75, 76, װי ער װאָלט װעלען דערמיט דעם אַנדערען זאָגען נ זעה, װאָס געלר בעטײט.|ער צעהלט ערנסט װי אײנער דאװענט פרום : 74, 75, 76, װי ער װאָלט װעלען דערמיט דעם אַנדערען זאָגען נ זעה, װאָס געלר בעטײט.
ashtetl-89|אינדעם עפענט זיך די טהיר, און עס קומט אַרײן מיט אַ געלױף אַ הױכער יוד, אַ בלינדער אױף אַן אױג, מיט אַ לאַנגער, רױט- ליכער באָרד, און ער הױבט אָן, אָהן שום טענות און מענות, צו שיטען דעם געלען, װאָס צעהלט דאָס געלד : „רױטער הונד, 250 רובל גיסט דו?|אינדעם עפענט זיך די טהיר, און עס קומט אַרײן מיט אַ געלױף אַ הױכער יוד, אַ בלינדער אױף אַן אױג, מיט אַ לאַנגער, רױט- ליכער באָרד, און ער הױבט אָן, אָהן שום טענות און מענות, צו שיטען דעם געלען, װאָס צעהלט דאָס געלד : „רױטער הונד, 250 רובל גיסט דו?
ashtetl-90|װאָס ביסט דו משוגע געװאָרען?|װאָס ביסט דו משוגע געװאָרען?
ashtetl-91|" שס געלע יודעל צעהלט װײ-ימער מער דאָס געלר — 101, 102.|" שס געלע יודעל צעהלט װײ-ימער מער דאָס געלר — 101, 102.
ashtetl-92|„װאָס האָסט דו צו מײן געלד?|„װאָס האָסט דו צו מײן געלד?
ashtetl-93|" טענה'ט אַלץ דער צװײטער.|" טענה'ט אַלץ דער צװײטער.
ashtetl-94|גאָר קױם האָט יענער די פּאָר גילדען צוגענומען, מעהט שױן ער „רױטער" מיט'ן „געלען" און מד'ען זיך, שלום געמאַכט.|גאָר קױם האָט יענער די פּאָר גילדען צוגענומען, מעהט שױן ער „רױטער" מיט'ן „געלען" און מד'ען זיך, שלום געמאַכט.
ashtetl-95|אױפ'ן טיש ליגען פּראָבען װײץ אין רױטע שנופּ-טיכלעך, און יעדער יוד, װאָס קומט אַרײן, כאַפּט אַ פּאָר קערענדלעך, בעקוקט זײ צוערשט, כאַפּט זײ אין מױל אַרײן און פרעגט אין דער װעלט אַרײן : „װיפיעל דער מאַרק?|אױפ'ן טיש ליגען פּראָבען װײץ אין רױטע שנופּ-טיכלעך, און יעדער יוד, װאָס קומט אַרײן, כאַפּט אַ פּאָר קערענדלעך, בעקוקט זײ צוערשט, כאַפּט זײ אין מױל אַרײן און פרעגט אין דער װעלט אַרײן : „װיפיעל דער מאַרק?
ashtetl-96|" ער בעקומט נישט קײן תּירוץ, קנאַקט ער די װײצלעך און קנײטשט מיט'ן שטערן, אַזױ װי ער װאָלט אַלײן פון זיך טרעפען געװאָלט דעם תּירוץ, װאָס ער האָט נישט געקענט אַרױסבעקומען פון דעם עולם.|" ער בעקומט נישט קײן תּירוץ, קנאַקט ער די װײצלעך און קנײטשט מיט'ן שטערן, אַזױ װי ער װאָלט אַלײן פון זיך טרעפען געװאָלט דעם תּירוץ, װאָס ער האָט נישט געקענט אַרױסבעקומען פון דעם עולם.
ashtetl-97|די „שטוב" איז די שטאָדט-בערזע.|די „שטוב" איז די שטאָדט-בערזע.
ashtetl-98|קלײנע סוחרים'לער קױפען אױף בײ די פּױערים די תּבואה און מען פערקױפט זײ „ר' יחזקאל'ט שפּײכלער".|קלײנע סוחרים'לער קױפען אױף בײ די פּױערים די תּבואה און מען פערקױפט זײ „ר' יחזקאל'ט שפּײכלער".
ashtetl-99|אין דער „שטוב" װערען גבגעמאַכט אַלע געשעפטען, גישט דוקא די, װאָס זײנען נוגע צו ר' יחזקאל'ס געשעפט, נאָר אַפילו|אין דער „שטוב" װערען גבגעמאַכט אַלע געשעפטען, גישט דוקא די, װאָס זײנען נוגע צו ר' יחזקאל'ס געשעפט, נאָר אַפילו
